EntityNumber,EntityContact,ContactType,Value
0408.499.464,ENT,EMAIL,info@koraal.be
0408.499.464,ENT,WEB,www.koraal.be
0409.834.601,ENT,TEL,0472049653
0410.606.938,ENT,EMAIL,vrienden.rubens-huis@antwerpen.be
0411.946.033,ENT,TEL,0476207840
0411.946.033,ENT,EMAIL,dirk@vancleemput.net
0412.104.302,ENT,EMAIL,corsa@pandora.be
0412.104.302,ENT,WEB,www.corsaresearch.com
0412.447.463,ENT,EMAIL,lodewijkdevochtfonds@gmail.com
0412.951.170,ENT,EMAIL,events@luxgroup.info
0414.793.576,ENT,EMAIL,laetitiavanderheeren@outlook.be
0416.137.027,ENT,TEL,032135270
0416.137.027,ENT,EMAIL,info@fastlines.be
0416.137.027,ENT,WEB,www.fast-lines.com
0416.248.378,ENT,EMAIL,vrouyr2@vrouyr.com
0418.647.248,ENT,TEL,03/828 53 29
0418.647.248,ENT,EMAIL,info@ceulemans-accounting.be
0418.647.248,ENT,EMAIL,Info@ceulemans-accounting.be
0418.821.650,ENT,TEL,03 232 72 96
0418.821.650,ENT,EMAIL,info@kauwenberg.be
0418.821.650,ENT,WEB,kauwenberg.be
0420.095.617,ENT,TEL,03/8210606
0420.095.617,ENT,EMAIL,info@bataljong.be
0420.095.617,ENT,WEB,www.bataljong.be
0420.304.166,ENT,EMAIL,gnl@cosco.be
0421.190.430,ENT,EMAIL,tavernierlg@gmail.com
0421.408.778,ENT,TEL,03/2250022
0421.408.778,ENT,EMAIL,info@ipisresearch.be
0421.736.697,ENT,TEL,032015161
0421.843.003,ENT,TEL,032332967
0421.843.003,ENT,EMAIL,info@degoudenram.be
0421.843.003,ENT,WEB,www.degoudenram.be
0423.488.043,ENT,EMAIL,info@planb-antwerpen.be
0424.267.409,ENT,EMAIL,info@sneldrukker.be
0424.267.409,ENT,WEB,www.sneldrukker.be
0424.888.308,ENT,EMAIL,info@optiekarnouts.be
0424.888.308,ENT,WEB,www.optiekarnouts.be
0425.279.177,ENT,EMAIL,volkantezcan@gmail.com
0426.464.458,ENT,EMAIL,guy@tacbvba.be
0426.955.792,ENT,EMAIL,laetitiavanderheeren@outlook.be
0427.731.495,ENT,TEL,03.384.22.33
0427.731.495,ENT,EMAIL,mario@wollaert.be
0427.731.495,ENT,WEB,www.wollaert.be
0429.378.616,ENT,EMAIL,info@sopf.be
0429.479.574,ENT,EMAIL,info@multatulitheater.be
0430.256.069,ENT,EMAIL,hofterbeuken@skynet.be
0431.635.350,ENT,TEL,+32 473 968561
0431.635.350,ENT,EMAIL,intertrade.hartmann@gmail.com.com
0431.635.350,ENT,WEB,www.intertrade-corp.com
0431.801.141,ENT,EMAIL,info@kompaskamp.be
0431.801.141,ENT,WEB,kompaskamp.be
0432.908.822,ENT,EMAIL,info@firesky.eu
0432.908.822,ENT,WEB,www.timemanage.eu
0434.882.375,ENT,TEL,03 2372652
0434.882.375,ENT,EMAIL,cgmsbvba@skynet.be
0435.305.316,ENT,EMAIL,info@garifuna.be
0435.305.316,ENT,WEB,www.garifuna.be
0435.390.141,ENT,EMAIL,info@maritimecampusantwerp.com
0435.390.141,ENT,WEB,www.maritimecampusantwerp.com
0435.485.062,ENT,TEL,0475374177
0435.485.062,ENT,EMAIL,marcel.meulemeester@gmail.com
0435.751.714,ENT,EMAIL,info@lasmanas.be
0435.751.714,ENT,WEB,www.lasmanas.be
0436.915.120,ENT,TEL,03/2248484
0436.915.120,ENT,EMAIL,info@bruhnsped.be
0436.915.120,ENT,WEB,www.bruhnsped.com
0437.238.683,ENT,WEB,www.druon.be
0437.547.303,ENT,WEB,www.pascalemasselis.be
0437.697.256,ENT,EMAIL,info@essentiel.be
0437.697.256,ENT,WEB,www.essentiel-antwerp.be
0438.012.210,ENT,EMAIL,info@sharper-image.be
0438.012.210,ENT,WEB,www.sharper-image.be
0438.397.933,ENT,TEL,+32 3 216.16.26
0438.397.933,ENT,EMAIL,info@zeno-x.com
0438.397.933,ENT,EMAIL,info@zeno-x.com
0438.397.933,ENT,WEB,www.zeno-x.com
0438.397.933,ENT,WEB,www.zeno-x.com
0439.345.959,ENT,EMAIL,roosevelt@xior.be
0439.487.006,ENT,TEL,03/289.79.63
0439.487.006,ENT,EMAIL,r.foque@telenet.be
0440.163.234,ENT,TEL,03/205.66.00
0440.163.234,ENT,EMAIL,info@remant.be
0440.163.234,ENT,WEB,www.remant.be
0440.163.432,ENT,TEL,03/205.66.00
0440.163.432,ENT,EMAIL,info@remant.be
0440.163.432,ENT,WEB,www.remant.be
0440.593.202,ENT,WEB,www.druon.be
0440.875.886,ENT,TEL,032264622
0440.891.229,ENT,EMAIL,admin@squarecity.be
0440.891.229,ENT,WEB,www.squarecity.be
0442.061.662,ENT,TEL,0475/251674
0442.061.662,ENT,EMAIL,luc@miermans.be
0442.695.429,ENT,TEL,03/248.29.40
0443.321.276,ENT,EMAIL,info@ipa.be
0443.321.276,ENT,WEB,www.ipa.be
0444.191.902,ENT,WEB,www.medilom.com
0444.298.897,ENT,TEL,03/205.66.00
0444.298.897,ENT,EMAIL,info@remantglobe.be
0444.298.897,ENT,WEB,www.remant.be
0444.600.290,ENT,TEL,0474858466
0444.600.290,ENT,EMAIL,OFFICE@WHATREMAINS.BE
0444.600.290,ENT,WEB,HTTP://WWW.WHATREMAINS.BE
0446.328.474,ENT,TEL,032260281
0446.328.474,ENT,EMAIL,oxfam.wereldwinkel@owwa.be
0446.355.495,ENT,TEL,032134170
0446.355.495,ENT,EMAIL,andre@martin.be
0446.355.495,ENT,WEB,www.martin.be
0446.371.036,ENT,TEL,+32468200000
0446.371.036,ENT,EMAIL,sytse@pobox.com
0447.439.719,ENT,TEL,03/766 63 93
0447.439.719,ENT,EMAIL,yannic@keymusic.com
0447.487.328,ENT,TEL,02 751 57 57
0447.487.328,ENT,EMAIL,dissaco@disair.be
0448.772.973,ENT,EMAIL,info@woodlineproject.be
0448.772.973,ENT,WEB,www.woodlineproject.be
0450.149.482,ENT,TEL,03 369 62 80
0450.149.482,ENT,EMAIL,info@receptel.be
0450.149.482,ENT,WEB,www.receptel.be
0450.822.346,ENT,EMAIL,vrouyr2@vrouyr.com
0450.822.742,ENT,EMAIL,vrouyr2@vrouyr.com
0451.939.529,ENT,EMAIL,kristof@instylestories.be
0452.262.993,ENT,EMAIL,info@adfibo.be
0452.262.993,ENT,WEB,www.adfibo.be
0452.446.206,ENT,TEL,016 571838
0452.446.206,ENT,EMAIL,info@apriori.be
0452.446.206,ENT,WEB,www.apriori.be
0452.529.645,ENT,TEL,036632563
0452.529.645,ENT,EMAIL,info@fikaver.be
0452.599.129,ENT,TEL,0478532411
0452.599.129,ENT,EMAIL,nadra.beyram@gmail.com
0452.657.329,ENT,EMAIL,eric.dauchy@theconstellationgroup.eu
0454.093.226,ENT,TEL,0468225924
0454.093.226,ENT,EMAIL,presidency@padesto.com
0454.210.220,ENT,EMAIL,mail@azull.info
0454.210.220,ENT,WEB,www.azull.be
0454.443.218,ENT,EMAIL,info@salonkronenburg.be
0454.443.218,ENT,WEB,www.salonkronenburg.be
0455.156.167,ENT,WEB,www.het-vervolg.be
0456.620.471,ENT,EMAIL,info@stephanschneider.be
0456.620.471,ENT,WEB,www.stephanschneider.be
0456.903.256,ENT,EMAIL,info@walsberghe.com
0456.903.256,ENT,WEB,www.mediccleanair.com
0457.169.809,ENT,EMAIL,info@desdalex.be
0457.169.809,ENT,WEB,www.desdalex.be
0457.194.652,ENT,EMAIL,air.be@hartrodt.com
0457.341.538,ENT,EMAIL,services@verdaco.be
0458.878.195,ENT,TEL,03/298 14 70
0458.878.195,ENT,EMAIL,administratie@beschutwonenantwerpen.be
0459.191.070,ENT,EMAIL,alternatief.centrum.bvba@telenet.be
0459.191.070,ENT,WEB,www.kaartleggen.be
0459.406.549,ENT,EMAIL,Willy.Vanderstraeten@sokrema.be
0460.900.943,ENT,EMAIL,info@mindserver.be
0460.900.943,ENT,WEB,www.mindserver.be
0461.104.346,ENT,EMAIL,info@cenergie.be
0461.104.346,ENT,WEB,www.cenergie.be
0461.573.906,ENT,TEL,32495538710
0461.573.906,ENT,EMAIL,luke.quisquater@qcb.be
0462.144.919,ENT,WEB,www.hetpaleis.be
0462.393.258,ENT,EMAIL,info@zakenkantoorwebo.be
0463.688.110,ENT,EMAIL,info@tlsbe.com
0464.159.153,ENT,TEL,03 202 84 44
0464.159.153,ENT,EMAIL,info@allcallservices.com
0464.159.153,ENT,WEB,www.allcallservices.com
0464.250.413,ENT,TEL,0497515515
0464.250.413,ENT,EMAIL,mylene.peemans@mf-international.be
0464.250.413,ENT,EMAIL,mylene.peemans@mf-international.be
0464.740.856,ENT,EMAIL,info@topa.be
0464.740.856,ENT,WEB,www.topa.be
0465.328.497,ENT,TEL,0496862082
0465.328.497,ENT,EMAIL,frank@softframe.be
0466.687.982,ENT,EMAIL,informatie@vleemo.be
0466.687.982,ENT,WEB,www.vleemo.be
0467.046.486,ENT,EMAIL,legal@gonitro.com
0467.046.486,ENT,WEB,www.gonitro.com
0467.120.128,ENT,EMAIL,esmith@arkieva.com
0467.975.807,ENT,EMAIL,info@gallery51.com
0468.323.423,ENT,TEL,0476958547
0468.323.423,ENT,EMAIL,A2M@scarlet.be
0468.611.057,ENT,TEL,+32 3 285 99 70
0468.611.057,ENT,EMAIL,info@stefanschoning.com
0468.611.057,ENT,WEB,www.stefanschöning.com
0469.101.403,ENT,TEL,0476553655
0470.801.079,ENT,TEL,032896881
0470.801.079,ENT,EMAIL,antwerpen@sit-and-sleep.be
0470.801.079,ENT,WEB,www.sit-and-sleep.be
0471.506.310,ENT,TEL,+323/231.43.18
0471.506.310,ENT,EMAIL,dirk.jacobs@allfacility.be
0471.695.459,ENT,TEL,+3232606990
0472.470.271,ENT,TEL,+32465149485
0472.470.271,ENT,EMAIL,n8winkelbe@gmail.com
0472.931.913,ENT,EMAIL,hans.destoop@altabuild.be
0472.931.913,ENT,WEB,www.altabuild.be
0473.013.966,ENT,WEB,www.druon.be
0473.583.890,ENT,EMAIL,vds@vdsconsult.com
0473.642.783,ENT,EMAIL,info@rhombus.be
0473.642.783,ENT,WEB,www.rhombus.be
0473.852.423,ENT,TEL,0475-781010
0473.852.423,ENT,EMAIL,michael@numberz.be
0473.852.423,ENT,WEB,www.numberz.be
0475.069.772,ENT,EMAIL,info@croenen.be
0475.069.772,ENT,WEB,www.croenen.be
0475.358.792,ENT,TEL,+32.3.232.30.58
0475.358.792,ENT,EMAIL,info@notariswellekens.be
0476.206.058,ENT,EMAIL,paulantwerp@gmail.com
0477.315.026,ENT,EMAIL,info@cobra-antwerp.com
0477.315.026,ENT,WEB,www.cobra-antwerp.com
0477.398.762,ENT,EMAIL,info@labelsinc.be
0477.398.762,ENT,WEB,www.labelsinc.be
0477.774.488,ENT,EMAIL,fidraes@edpnet.be
0478.290.568,ENT,WEB,www.solventis.net
0478.375.987,ENT,EMAIL,info@declippeleadvocaten.com
0478.375.987,ENT,WEB,www.declippeleadvocaten.com
0478.895.037,ENT,TEL,+32 3 296 26 80
0478.895.037,ENT,EMAIL,info@vogelbescherming.be
0478.895.037,ENT,WEB,www.vogelbescherming.be
0478.955.316,ENT,EMAIL,info@relias.be
0478.955.316,ENT,WEB,www.relias.be
0479.147.039,ENT,TEL,0477357317
0479.147.039,ENT,EMAIL,info@defrimethe.be
0502.759.017,ENT,EMAIL,info@plana-projects.be
0502.759.017,ENT,WEB,www.plana-projects.be
0508.645.432,ENT,EMAIL,magic@instylestudio.be
0508.645.432,ENT,WEB,www.instylestudio.be
0508.784.301,ENT,WEB,productions.picoux.be
0521.878.608,ENT,TEL,032384535
0521.878.608,ENT,EMAIL,notaris@notariscartuyvels.be
0523.932.236,ENT,TEL,+32 3 337 26 27
0523.932.236,ENT,EMAIL,info@openupmedia.be
0523.932.236,ENT,WEB,openup.media
0524.795.932,ENT,EMAIL,info@antwerpcharteringclub.be
0524.795.932,ENT,WEB,www.antwerpcharteringclub.be
0526.920.331,ENT,EMAIL,contact@alhambra-international.com
0526.920.331,ENT,WEB,www.alhambra-international.com
0534.921.445,ENT,TEL,03/303.90.00
0534.921.445,ENT,EMAIL,tom.vangeystelen@go4jobs.be
0534.986.870,ENT,TEL,03 217 53 33
0534.986.870,ENT,EMAIL,boekhouding@bankvanbreda.be
0536.858.178,ENT,EMAIL,guy.geens@b-trade.be
0537.640.118,ENT,TEL,0496429870
0537.640.118,ENT,EMAIL,eric@verde-foodbar.be
0537.640.118,ENT,WEB,www.verde-foodbar.be
0541.414.408,ENT,EMAIL,pih@provincieantwerpen.be
0542.389.257,ENT,TEL,03/237.84.23
0542.389.257,ENT,EMAIL,administratie@rucquoy.com
0542.748.355,ENT,TEL,03/545.11.79
0542.748.355,ENT,EMAIL,jana.meesschaert@boskalis.com
0542.846.840,ENT,EMAIL,info@marks-foods.com
0542.872.475,ENT,TEL,03/226.69.06
0542.872.475,ENT,EMAIL,yannick@paparoti.be
0543.348.864,ENT,TEL,03/232.77.09
0543.348.864,ENT,EMAIL,secretariaat@adverlat.be
0543.507.133,ENT,TEL,+31 6 41230650
0543.507.133,ENT,TEL,+31653233244
0543.507.133,ENT,EMAIL,emil.devalk@tinqwise.com
0543.507.133,ENT,EMAIL,reinoud.vandommelen@tinqwise.com
0543.507.133,ENT,WEB,www.tinqwise.com/nl/
0543.603.341,ENT,EMAIL,info@blendantwerpen.be
0543.603.341,ENT,WEB,www.facebook.com/blendantwerpen
0543.832.874,ENT,TEL,0477459545
0543.832.874,ENT,EMAIL,matthieu@kingofhearts.be
0543.926.807,ENT,TEL,0485484440
0543.926.807,ENT,EMAIL,diether@radarwerk.be
0543.928.092,ENT,TEL,03 216 25 24
0543.928.092,ENT,EMAIL,togamail@advant.be
0543.928.092,ENT,WEB,www.advant.be
0544.483.764,ENT,TEL,03/216.99.00
0544.578.586,ENT,TEL,03/213.08.50
0544.830.192,ENT,TEL,0475/622.176
0544.979.256,ENT,TEL,03/355.50.90
0544.979.256,ENT,EMAIL,seppe@vmw-accountants.be
0545.757.929,ENT,WEB,www.db-investigations.be
0545.940.645,ENT,TEL,03/820.68.40
0545.940.645,ENT,EMAIL,info@nietvelt.be
0546.908.566,ENT,TEL,0495/53.98.48
0547.678.826,ENT,TEL,03/2134430
0547.972.794,ENT,TEL,03/257.04.89
0547.972.794,ENT,EMAIL,ir@xior.be
0547.972.794,ENT,WEB,WWW.XIOR.BE
0547.972.794,ENT,WEB,www.xior.be
0549.886.070,ENT,TEL,032977712
0549.886.070,ENT,EMAIL,info@antvest.be
0549.886.070,ENT,WEB,www.antvest.be
0550.545.175,ENT,TEL,03/454.22.55
0550.990.286,ENT,TEL,011729406
0552.527.539,ENT,WEB,www.psa-antwerp.be
0552.836.652,ENT,TEL,03/247.44.17
0552.836.652,ENT,EMAIL,tax@euronav.com
0553.623.045,ENT,TEL,0486/71.19.35
0553.623.045,ENT,EMAIL,lvandenbussche@topselection.be
0553.752.709,ENT,EMAIL,info@belroys.com
0553.752.709,ENT,WEB,www.belroys.com
0553.789.628,ENT,TEL,03/3693090
0553.789.628,ENT,EMAIL,pieter.lathouwers@dentius.be
0558.844.120,ENT,TEL,03 303 90 00
0560.894.481,ENT,TEL,0032472183509
0561.959.305,ENT,TEL,032650014
0561.959.305,ENT,EMAIL,info@enofstudio.eu
0561.959.305,ENT,EMAIL,info@enofarchitectuur.be
0561.959.305,ENT,WEB,www.enofarchitectuur.be
0562.867.739,ENT,EMAIL,info@nota.be
0562.867.739,ENT,WEB,www.nota.be
0562.918.021,ENT,TEL,03-232 84 58
0562.918.021,ENT,EMAIL,secretariaat@gdwantw.be
0564.908.105,ENT,EMAIL,info@polygon-cs.com
0564.908.105,ENT,WEB,www.polygon-cs.com
0567.560.361,ENT,EMAIL,info@scheck.art
0567.560.361,ENT,WEB,www.scheck.art
0567.914.709,ENT,TEL,0497/15 92 05
0567.914.709,ENT,EMAIL,caroline@lmbooks.be
0567.975.481,ENT,TEL,03/633.95.28
0567.975.481,ENT,EMAIL,peter.beevers@beemster.be
0599.815.237,ENT,TEL,003232324512
0599.815.237,ENT,EMAIL,info@hairbyandrogyn.com
0599.815.237,ENT,WEB,www.hairbyandrogyn.com/
0599.899.567,ENT,TEL,+32478953534
0599.899.567,ENT,EMAIL,nick.bila@bilateral.be
0599.899.567,ENT,WEB,www.bilateral.be
0599.930.251,ENT,EMAIL,info@beroepsantwerpenaar.be
0600.969.933,ENT,EMAIL,stephanie.desmet@fieldfisher.com
0604.983.951,ENT,TEL,0499565327
0604.983.951,ENT,EMAIL,info@olivetree.be
0604.985.337,ENT,EMAIL,info@cronopio.be
0607.958.683,ENT,EMAIL,info@sterkwater.be
0607.958.683,ENT,WEB,www.sterkwater.be
0631.760.703,ENT,TEL,0486 30 08 99
0631.760.703,ENT,WEB,www.cocktailcrush.be
0632.542.245,ENT,TEL,03 246 06 00
0632.542.245,ENT,EMAIL,contact@teamservices.be
0632.542.245,ENT,WEB,www.teamservices.eu
0632.805.927,ENT,EMAIL,wouter@na2.be
0633.537.682,ENT,EMAIL,dries@conversationstarter.net
0633.537.682,ENT,EMAIL,info@conversationstarter.net
0633.537.682,ENT,WEB,www.conversationstarter.net
0633.612.215,ENT,EMAIL,gilles@minzehealth.com
0633.612.215,ENT,WEB,www.minzehealth.com
0634.860.248,ENT,TEL,0490/644.639
0634.860.248,ENT,EMAIL,nlm.wijngaards@gmail.com
0634.951.211,ENT,EMAIL,dimtiri.vanlommel@studant.be
0635.811.541,ENT,EMAIL,annemie.peeters@stooplaw.be
0635.841.829,ENT,TEL,0475627035
0635.841.829,ENT,EMAIL,bie@bievanlishout.be
0635.841.829,ENT,WEB,www.bievanlishout.be
0637.976.423,ENT,EMAIL,commercial@realt.be
0638.882.184,ENT,TEL,03/224.11.10
0638.882.184,ENT,EMAIL,luc@lucclaes.be
0638.990.171,ENT,TEL,03/233.76.33
0638.990.171,ENT,EMAIL,marc.sledsens@notddg.be
0639.739.843,ENT,WEB,sisu.be
0639.803.684,ENT,TEL,0485/74.65.51
0639.803.684,ENT,EMAIL,nassiri77@yahoo.com
0640.784.968,ENT,TEL,0486719514
0640.784.968,ENT,EMAIL,info@spocrecruitment.be
0640.784.968,ENT,WEB,www.spocrecruitment.be
0641.807.428,ENT,TEL,+32484857575
0641.807.428,ENT,EMAIL,hello@YClick.be
0641.807.428,ENT,WEB,YClick.be
0642.595.108,ENT,TEL,03/242.94.87
0642.608.667,ENT,TEL,0032479783161
0642.608.667,ENT,EMAIL,hello@haste.be
0642.608.667,ENT,WEB,www.haste.be
0642.696.957,ENT,TEL,03/222.99.84
0642.696.957,ENT,EMAIL,pverhelst.office@be.mcd.com
0642.953.315,ENT,TEL,03/238.45.35
0642.953.315,ENT,EMAIL,NOTARIS@NOTARISCARTUYVELS.BE
0643.533.236,ENT,EMAIL,info@essentiel.be
0643.533.236,ENT,WEB,www.essentiel.be
0643.533.533,ENT,EMAIL,info@essentiel.be
0643.533.533,ENT,WEB,www.essentiel.be
0643.741.587,ENT,TEL,038006400
0643.741.587,ENT,EMAIL,info@rgfstaffing.be
0643.741.587,ENT,WEB,www.rgfstaffing.be
0643.916.682,ENT,EMAIL,yonas.torfs@gmail.com
0643.927.570,ENT,EMAIL,events@luxgroup.info
0643.958.056,ENT,TEL,03/545.11.79
0643.958.056,ENT,EMAIL,m.vd.maegdenbergh@smit.com
0643.967.063,ENT,EMAIL,info@thofvaneden.be
0644.918.752,ENT,TEL,03 501 99 96
0644.918.752,ENT,EMAIL,secretariaat@keyseradvocaten.be
0644.918.752,ENT,WEB,www.keyseradvocaten.be
0645.577.659,ENT,TEL,03/238.54.22
0645.972.488,ENT,EMAIL,hello@aerey.be
0645.972.488,ENT,WEB,www.aerey.be
0645.991.096,ENT,TEL,03/259.00.70
0645.991.096,ENT,EMAIL,eric@gdw-amerikalei73.be
0646.804.809,ENT,TEL,0497624334
0646.804.809,ENT,EMAIL,pieter.verhaert@gmail.com
0646.804.809,ENT,WEB,chofleur.be
0646.839.550,ENT,TEL,03/246.37.20
0647.698.593,ENT,TEL,0479/330909
0647.698.593,ENT,EMAIL,gary@festen.be
0647.700.870,ENT,TEL,03 257 02 28
0649.492.204,ENT,TEL,033037837
0649.492.204,ENT,EMAIL,info@yalemy.com
0649.492.204,ENT,WEB,www.yalemy.com
0649.527.935,ENT,TEL,0032495861646
0649.527.935,ENT,EMAIL,steven.claeys@sitwear.com
0649.527.935,ENT,WEB,www.sitwear.com
0649.535.259,ENT,EMAIL,Ngo_sy@yahoo.co.uk
0649.855.656,ENT,EMAIL,hello@unitedmusic.be
0649.855.656,ENT,WEB,www.unitedmusic.be
0651.559.985,ENT,TEL,03/231.53.95
0653.966.773,ENT,TEL,03/231.56.10
0654.764.549,ENT,TEL,033037444
0654.764.549,ENT,EMAIL,welkom@originalimmo.be
0654.764.549,ENT,WEB,www.originalimmo.be
0654.862.143,ENT,EMAIL,alina.advisors@gmail.com
0654.884.810,ENT,TEL,03/221.06.72
0654.932.419,ENT,TEL,03.384.22.33
0654.932.419,ENT,EMAIL,mario@wollaert.be
0655.858.075,ENT,EMAIL,hello@startmotion.be
0655.858.075,ENT,WEB,startmotion.be
0655.972.891,ENT,TEL,0476 54 76 76
0656.545.686,ENT,TEL,03 288 40 34
0656.985.156,ENT,TEL,03/231.53.95
0658.964.550,ENT,EMAIL,dominique@conscious.be
0658.964.550,ENT,WEB,www.conscious.be
0659.688.189,ENT,EMAIL,info@dorienleyers.be
0659.913.071,ENT,TEL,03/247.89.02
0660.701.741,ENT,TEL,0494/90 07 83
0660.959.087,ENT,TEL,03/20122230
0660.959.087,ENT,EMAIL,erwin@beleac.be
0661.643.730,ENT,EMAIL,PaRoSol.bvba@gmail.com
0661.643.730,ENT,EMAIL,Parasol.bvba@gmail.com
0664.869.771,ENT,EMAIL,info@vibegroup.com
0664.869.771,ENT,WEB,www.vibegroup.com
0665.522.443,ENT,EMAIL,kvermeulen@gmail.com
0665.768.408,ENT,EMAIL,hallo@bloemenvancornelis.be
0665.768.408,ENT,WEB,www.bloemenvancornelis.be
0665.867.188,ENT,TEL,03/260.69.90
0665.867.188,ENT,EMAIL,info@coone-accountants.be
0665.867.188,ENT,WEB,www.coone-accountants.be
0667.497.877,ENT,TEL,+61 282323333
0667.594.481,ENT,TEL,032336133
0667.594.481,ENT,EMAIL,dirk@remy.be
0667.644.763,ENT,TEL,032024050
0667.644.763,ENT,EMAIL,sea.be@hartrodt.com
0667.644.763,ENT,WEB,www.hartrodt.com
0667.926.756,ENT,TEL,0032483583444
0667.926.756,ENT,EMAIL,julie.claes@studiostraf.com
0667.926.756,ENT,WEB,www.studiostraf.com
0667.991.785,ENT,EMAIL,admin@selma.ai
0667.991.785,ENT,WEB,selma.ai/
0668.610.508,ENT,EMAIL,info@escapingrooms.be
0668.610.508,ENT,WEB,www.escapingrooms.be
0668.721.166,ENT,EMAIL,vincent_beek@hotmail.com
0668.790.551,ENT,EMAIL,damien@chi-projects.be
0669.530.919,ENT,EMAIL,hans@themasterplan.be
0669.530.919,ENT,WEB,www.themasterplan.be
0669.595.552,ENT,EMAIL,corporatelegal@nutanix.com
0670.830.521,ENT,EMAIL,boekhouding@studer.agency
0671.510.907,ENT,TEL,0473/55.49.95
0671.510.907,ENT,TEL,0473/554995
0671.510.907,ENT,EMAIL,tessa@lobster.land
0671.541.094,ENT,TEL,0478842012
0671.541.094,ENT,EMAIL,info@lotel.be
0671.665.810,ENT,TEL,032260829
0671.665.810,ENT,WEB,www.stukcars.be
0671.842.883,ENT,TEL,+32485035554
0671.842.883,ENT,EMAIL,info@hazena.be
0671.987.492,ENT,EMAIL,pieter_declerck@hotmail.com
0671.987.492,ENT,EMAIL,pieter_declerck@hotmail.com
0672.458.735,ENT,EMAIL,info@dimdining.be
0674.482.174,ENT,TEL,+3238256492
0674.482.174,ENT,EMAIL,office@ylnc.be
0674.533.248,ENT,WEB,www.pandora.net/nl-be
0674.824.446,ENT,TEL,0467007378
0674.824.446,ENT,EMAIL,prorenbo@gmail.com
0676.402.972,ENT,TEL,03/291.66.89
0676.402.972,ENT,EMAIL,dr.bracke@dermadok.be
0678.894.783,ENT,EMAIL,maurice@artunapoli.com
0678.894.783,ENT,WEB,www.artunapoli.com
0679.445.606,ENT,TEL,+32 3 225 07 53
0679.445.606,ENT,EMAIL,stijn@theaterzeemanshuis.be
0679.445.606,ENT,WEB,www.theaterzeemanshuis.be
0679.965.545,ENT,TEL,03/231.11.11
0681.480.329,ENT,TEL,03/3660666
0681.485.079,ENT,TEL,03/4750135
0681.488.148,ENT,EMAIL,info@lamitie.net
0682.811.506,ENT,TEL,0485/746551
0682.811.506,ENT,EMAIL,reza.nassiri@telenet.be
0682.872.179,ENT,TEL,+32486322474
0682.872.179,ENT,EMAIL,kamel786@hotmail.com
0683.633.630,ENT,TEL,03/231 53 95
0683.778.734,ENT,WEB,www.whitestonecapital.be
0683.788.632,ENT,TEL,03/653.53.50
0684.650.150,ENT,EMAIL,info@aloxy.io
0684.854.444,ENT,EMAIL,paul@paulscheers.com
0685.722.791,ENT,WEB,www.theargonauts.be
0685.731.305,ENT,WEB,www.dalory.be
0685.882.743,ENT,TEL,03/663 88 07
0686.624.990,ENT,EMAIL,info@amicidibici.be
0686.624.990,ENT,WEB,www.amicidibici.be
0686.672.403,ENT,EMAIL,invoicing@work-force.be
0686.752.278,ENT,TEL,+32486118836
0686.752.278,ENT,TEL,0486118836
0686.752.278,ENT,EMAIL,walter@anykey.shop
0686.783.754,ENT,EMAIL,pieter@sd-services.be
