EntityNumber,EntityContact,ContactType,Value
0544.750.911,ENT,EMAIL,vincent@lagare27.be
0546.795.136,ENT,TEL,0489206862
0546.911.932,ENT,EMAIL,info@barnoord.be
0550.857.159,ENT,EMAIL,r.terlow@jolo.nl
0559.879.446,ENT,TEL,+32479018555
0559.879.446,ENT,EMAIL,karen.vanhees1@gmail.com
0560.728.393,ENT,EMAIL,vanmaerlantstraat29@telenet.be
0562.900.106,ENT,EMAIL,Samir-bvba@hotmail.com
0563.531.101,ENT,EMAIL,info@voyager.be
0563.531.101,ENT,WEB,www.voyager.be
0567.526.511,ENT,EMAIL,bothworldsbvba@gmail.com
0567.627.766,ENT,TEL,0477/96.27.60
0567.627.766,ENT,EMAIL,Frederik.nedee@bankvanbreda.be
0588.981.723,ENT,TEL,0474/42.50.72
0598.735.072,ENT,TEL,0485 76 58 75
0600.944.989,ENT,TEL,0472655105
0600.944.989,ENT,EMAIL,info@groencreaties.be
0607.851.686,ENT,EMAIL,kanak.dodia@clearedeuropeservices.com
0607.851.686,ENT,WEB,www.clearedeuropeservices.com
0612.989.916,ENT,TEL,0486448525
0627.992.648,ENT,EMAIL,dueseason.minidtries23@gmail.com
0627.992.648,ENT,WEB,www.dueseasonministries.com
0628.996.993,ENT,EMAIL,info@collectiefgoed.be
0628.996.993,ENT,WEB,www.collectiefgoed.be
0632.726.941,ENT,TEL,0488409000
0632.726.941,ENT,EMAIL,lallibajwa@hotmail.com
0633.811.856,ENT,TEL,016902210
0633.811.856,ENT,EMAIL,sakileuven@gmail.com
0637.967.020,ENT,EMAIL,bitar.store@hotmail.com
0642.764.461,ENT,EMAIL,rizvana_amir@outlook.com
0645.850.150,ENT,TEL,0485975887
0645.850.150,ENT,EMAIL,info@werkplaats4.be
0645.850.150,ENT,WEB,www.werkplaats4.be
0653.733.775,ENT,EMAIL,info@solvetech.be
0653.733.775,ENT,WEB,www.solvetech.be
0657.947.139,ENT,TEL,0486717666
0657.947.139,ENT,EMAIL,sara-be2@hotmail.com
0663.779.512,ENT,EMAIL,info@barnoord.be
0666.865.694,ENT,TEL,0484662556
0666.865.694,ENT,EMAIL,contact@amyartmanager.com
0666.865.694,ENT,WEB,www.amyartmanager.com
0668.729.480,ENT,TEL,022010001
0668.729.480,ENT,EMAIL,deleersnyder@telenet.be
0669.545.468,ENT,EMAIL,info@skinne.be
0669.545.468,ENT,WEB,www.skinne.be
0669.736.696,ENT,TEL,03/225.01.07
0669.736.696,ENT,EMAIL,jan.vanlooveren12510@axa-bank.be
0670.533.383,ENT,TEL,0489305408
0670.533.383,ENT,EMAIL,info@onetrickpony.be
0670.533.383,ENT,WEB,www.onetrickpony.be
0670.693.137,ENT,EMAIL,niels@nilsco.be
0670.979.682,ENT,TEL,+32485201666
0670.979.682,ENT,EMAIL,farissmaziane@hotmail.com
0679.636.438,ENT,TEL,+32489148628
0679.636.438,ENT,EMAIL,soranmulla31@gmail.com
0680.406.302,ENT,TEL,0498/71.62.51
0680.406.302,ENT,EMAIL,info@osajbouwwerken.be
0680.826.469,ENT,EMAIL,info@karel-construct.be
0683.807.933,ENT,EMAIL,info@antigone-advocaten.be
0683.807.933,ENT,WEB,www.antigone-advocaten.be
0684.504.551,ENT,TEL,03/303.20.62
0684.504.551,ENT,EMAIL,hello@tuttersenbellen.be
0684.504.551,ENT,WEB,www.tuttersenbellen.be
0685.997.262,ENT,EMAIL,info@commonslab.be
0685.997.262,ENT,WEB,www.commonslab.be/
0694.603.835,ENT,EMAIL,queenveronica16@gmail.com
0695.572.053,ENT,EMAIL,info@noordpoort.be
0695.572.053,ENT,WEB,www.noordpoort.be
0696.648.852,ENT,WEB,anima.be/
0700.272.296,ENT,WEB,www.industryvibes.be
0700.732.552,ENT,EMAIL,info@fytpower.com
0700.732.552,ENT,WEB,fytpower.com
0708.928.557,ENT,TEL,+32493888111
0708.928.557,ENT,EMAIL,info@milta.be
0712.663.156,ENT,EMAIL,hussainshahzad100@yahoo.com
0712.846.763,ENT,EMAIL,info@starsim.be
0712.946.733,ENT,TEL,0494/24.18.13
0712.946.733,ENT,EMAIL,frempong9@yahoo.com
0718.705.860,ENT,EMAIL,kinggrouppp@gmail.com
0723.485.188,ENT,WEB,info@bruggeman-maes.be
0726.354.212,ENT,EMAIL,priscilla@notarisverbert.be
0726.668.471,ENT,EMAIL,clubotoko@gmail.com
0727.503.265,ENT,EMAIL,info@clstransport.be
0728.514.639,ENT,EMAIL,admin@rollit.be
0728.514.639,ENT,WEB,www.rollit.be
0728.758.129,ENT,EMAIL,PoudelDinesh28@gmail.com
0729.524.528,ENT,EMAIL,Lukas.vl@hotmail.be
0730.639.335,ENT,TEL,0470945471
0730.639.335,ENT,EMAIL,probuilders21@gmail.com
0731.637.445,ENT,EMAIL,mail@sweetsoda.be
0731.672.483,ENT,TEL,0471625030
0731.672.483,ENT,EMAIL,kafai@bsm-bvba.be
0731.706.533,ENT,EMAIL,info@camen.be
0731.706.533,ENT,WEB,www.camen.info/
0731.729.297,ENT,EMAIL,info@delhaizecriee.be
0731.729.297,ENT,WEB,www.delhaizecriee.be
0731.791.259,ENT,TEL,0486024477
0731.791.259,ENT,EMAIL,info@unit14.be
0731.791.259,ENT,EMAIL,sylvester@unit14.be
0731.791.259,ENT,WEB,www.unit14.be
0731.840.353,ENT,TEL,+32 473 18 22 97
0731.840.353,ENT,EMAIL,financieel@technica-antwerpen.be
0731.840.353,ENT,WEB,www.technica-antwerpen.be
0731.954.476,ENT,EMAIL,exbads.antwerp@gmail.com
0732.717.214,ENT,EMAIL,Aandemas@hotmail.be
0734.470.340,ENT,EMAIL,tania@a2zplus.be
0736.668.379,ENT,EMAIL,rasimhanona939@hotmail.com
0736.814.077,ENT,TEL,0489397700
0736.836.249,ENT,EMAIL,antwerpsstore@gmail.com
0737.384.793,ENT,EMAIL,rosariomechelen@hotmail.com
0737.556.326,ENT,TEL,0465898025
0737.556.326,ENT,EMAIL,cafepijl@gmail.com
0737.621.850,ENT,EMAIL,info@embankment.management
0737.621.850,ENT,WEB,embankment.management
0737.681.436,ENT,EMAIL,info@loofbv.be
0738.744.377,ENT,EMAIL,srs.belgique@gmail.com
0738.904.131,ENT,EMAIL,info@norcon.be
0739.712.793,ENT,WEB,www.smile-dental.be
0740.835.421,ENT,TEL,0476 38 49 28
0740.987.453,ENT,EMAIL,gustave@gustavegirard.be
0742.653.279,ENT,TEL,0478807228
0742.653.279,ENT,EMAIL,bert.craeghs@istate.be
0742.850.744,ENT,EMAIL,sabrina@pgsdl.be
0742.850.744,ENT,EMAIL,shifted@me.com
0743.754.527,ENT,EMAIL,info@cleaningall.be
0743.920.516,ENT,TEL,0493 55 14 82
0743.920.516,ENT,EMAIL,standing.work.clean@skynet.be
0746.490.719,ENT,TEL,032356990
0746.490.719,ENT,EMAIL,Christophe@jfs.be
0746.557.035,ENT,TEL,0484449436
0746.557.035,ENT,EMAIL,bvsergioyassine@gmail.com
0746.884.756,ENT,EMAIL,info@agrafa.be
0747.758.548,ENT,EMAIL,kayembe.tetty@live.be
0748.497.629,ENT,TEL,0470104190
0748.497.629,ENT,EMAIL,info@irecruiter.be
0748.951.450,ENT,EMAIL,stefan@somogyi.be
0750.698.044,ENT,EMAIL,Midastouchrecordings@gmail.com
0750.698.044,ENT,WEB,midastouchrecordings.com/
0751.601.431,ENT,EMAIL,smartphone2060@hotmail.com
0751.611.626,ENT,EMAIL,azad.antwerpen@gmail.com
0753.377.719,ENT,TEL,0488/488227
0753.544.401,ENT,EMAIL,mooglebv@gmail.com
0753.690.196,ENT,EMAIL,js@abvplusarchitecten.be
0753.983.671,ENT,EMAIL,fpu.belgium32@gmail.com
0754.560.327,ENT,EMAIL,sandradecadt1@gmail.com
0754.560.327,ENT,WEB,www.vrouwencirkels.be
0754.680.289,ENT,TEL,0474/462759
0754.680.289,ENT,EMAIL,wimanrijs@hotmail.com
0755.325.241,ENT,EMAIL,info@bureau-more.be
0755.325.241,ENT,WEB,www.bureau-more.be
0755.876.062,ENT,EMAIL,info@anstituut.be
0755.876.062,ENT,WEB,www.anstituut.be
0755.886.059,ENT,EMAIL,gamal.cheddad@hotmail.com
0756.534.573,ENT,TEL,+32 466 36 05 38
0757.604.741,ENT,EMAIL,aurusgroep66@gmail.com
0757.707.283,ENT,EMAIL,info@teamcleaning.be
0757.726.485,ENT,EMAIL,bahriabvba@yahoo.com
0757.777.559,ENT,EMAIL,reneedankers@yahoo.co.uk
0757.863.770,ENT,TEL,0486842170
0757.936.818,ENT,TEL,0474253358
0757.936.818,ENT,EMAIL,natalie@bron-crafts.be
0757.936.818,ENT,WEB,bron-crafts.be
0758.643.136,ENT,EMAIL,info@t-7.be
0758.760.031,ENT,EMAIL,info@lichtwaas.be
0758.760.031,ENT,WEB,www.lichtwaas.be
0759.662.131,ENT,TEL,0485631199
0759.662.131,ENT,EMAIL,eagle.antwerpen@gmail.com
0760.374.090,ENT,EMAIL,gerry@gp-services.be
0760.799.209,ENT,EMAIL,allichtlicht@gmail.com
0760.921.349,ENT,EMAIL,cornellsolutionsbv@gmail.com
0761.534.726,ENT,EMAIL,info@atscan.be
0761.534.726,ENT,WEB,www.atscan.be
0762.614.493,ENT,EMAIL,administratie@asiyegoktekin.be
0763.807.989,ENT,EMAIL,info@luzitu.com
0763.807.989,ENT,WEB,www.luzitu.com
0764.350.991,ENT,EMAIL,p.byloos@me.com
0764.940.515,ENT,EMAIL,info@lehaenbouw.be
0765.469.263,ENT,EMAIL,info@renix.be
0765.469.263,ENT,WEB,www.renix.be
0765.523.010,ENT,TEL,0483371348
0765.523.010,ENT,EMAIL,bananaplaat@gmail.com
0765.611.201,ENT,EMAIL,info@cloudmaker.be
0765.684.049,ENT,TEL,0484937676
0765.684.049,ENT,EMAIL,pizzataliaAntwerpen@outlook.be
0768.507.145,ENT,EMAIL,office@pobox42.org
0768.507.145,ENT,WEB,www.pobox42.org
0768.877.131,ENT,EMAIL,kjsvzw@gmail.com
0768.969.874,ENT,EMAIL,louise@louisemertens.com
0768.969.874,ENT,WEB,www.louisemertens.com
0769.265.329,ENT,TEL,0489/58.39.26
0769.265.329,ENT,EMAIL,INFO@ELYTECH.BE
0769.340.850,ENT,TEL,0492406240
0769.340.850,ENT,EMAIL,jawed@mazadorantwerp.com
0769.729.246,ENT,EMAIL,laforcerene7@gmail.com
0770.422.203,ENT,TEL,032346440
0770.422.203,ENT,EMAIL,commercial@etelogistixx.com
0770.422.203,ENT,WEB,etelogistixx.com/
0770.753.585,ENT,EMAIL,vzwdagraven@gmail.com
0772.335.972,ENT,EMAIL,hello@theconstantnow.com
0772.335.972,ENT,WEB,theconstantnow.com
0772.394.964,ENT,EMAIL,praeses@socio-antwerpen.be
0772.394.964,ENT,WEB,www.socio-antwerpen.be/
0774.298.144,ENT,EMAIL,ria.somers11@gmail.com
0774.711.086,ENT,EMAIL,diana@bsm-bv.be
0774.866.187,ENT,EMAIL,renardmusic94@gmail.com
0775.263.194,ENT,TEL,032346440
0775.263.194,ENT,EMAIL,europe@nanamishipping.com
0775.263.194,ENT,WEB,www.nanamishipping.com/
0775.350.890,ENT,TEL,071160307
0775.350.890,ENT,EMAIL,Ceylinim12@hotmail.com
0775.802.337,ENT,EMAIL,gracietteje@hotmail.com
0775.945.263,ENT,EMAIL,lucky1207@gmail.com
0776.675.139,ENT,EMAIL,elhoujes@gmail.com
0776.697.410,ENT,EMAIL,Phonefy@outlook.com
0776.789.163,ENT,EMAIL,sajjad.jalil199@gmail.com
0778.572.676,ENT,EMAIL,info@actmetmarco.be
0778.976.712,ENT,EMAIL,info@mino-antwerp.be
0779.352.438,ENT,EMAIL,info@a-space.be
0779.352.438,ENT,WEB,www.a-space.be
0779.505.460,ENT,EMAIL,belgium@ihoebrar.com
0779.688.374,ENT,EMAIL,haki.jeugdwerk@hotmail.com
0779.739.745,ENT,TEL,0494775249
0779.739.745,ENT,EMAIL,christoph.maes.94@gmail.com
0779.990.856,ENT,EMAIL,info@explus.be
0779.990.856,ENT,WEB,www.explus.be
0780.386.477,ENT,TEL,0474 39 89 83
0780.386.477,ENT,EMAIL,consonantbemiddeling@gmail.com
0780.386.477,ENT,WEB,www.consonantbemiddeling.com/
0780.737.261,ENT,EMAIL,nadia@2count.be
0781.342.522,ENT,EMAIL,bederaedt@gmail.com
0782.865.026,ENT,EMAIL,benkan@toubasat.be
0782.890.760,ENT,EMAIL,contact@erikdesmedt.be
0783.451.281,ENT,EMAIL,michaelvandeneynde@gmail.com
0783.468.208,ENT,TEL,0466201004
0783.468.208,ENT,EMAIL,fusioneventsbe@gmail.com
0783.978.150,ENT,WEB,www.arvidvantornout.com
0784.637.849,ENT,TEL,0491716283
0784.637.849,ENT,EMAIL,vic.tweelinckx@telenet.be
0785.481.551,ENT,EMAIL,tom@runnerslab.be
0785.939.926,ENT,TEL,0032485957683
0786.616.748,ENT,EMAIL,info@cutthemustard.be
0786.616.748,ENT,WEB,www.cutthemustard.be
0787.587.738,ENT,TEL,0495629417
0787.587.738,ENT,EMAIL,dennisvanbulck@gmail.com
0788.724.420,ENT,EMAIL,doumic.plettinx@gmail.com
0789.622.461,ENT,TEL,0471396563
0789.622.461,ENT,EMAIL,samuel_vanthienen@hotmail.com
0789.982.846,ENT,EMAIL,toonverdonck1@gmail.com
0790.357.681,ENT,EMAIL,loworbitrecords@gmail.com
0790.665.707,ENT,TEL,0470017712
0790.665.707,ENT,EMAIL,oscar.antwerpen@gmail.com
0791.183.765,ENT,EMAIL,info@cafezigzag.be
0791.183.765,ENT,WEB,cafezigzag.be
0791.607.892,ENT,EMAIL,jaqut.t@gmail.com
0792.158.715,ENT,EMAIL,abdulsow57@gmail.com
0792.362.811,ENT,WEB,drukbezig.com
0793.107.137,ENT,EMAIL,danyneudt@hotmail.com
0793.745.753,ENT,EMAIL,briljantcleanings@gmail.com
0794.141.473,ENT,EMAIL,michell_stolk@icloud.com
0794.222.241,ENT,EMAIL,info@optop.be
0794.222.241,ENT,WEB,www.optop.be
0794.805.429,ENT,EMAIL,dirk@fiscatwork.be
0794.805.429,ENT,EMAIL,linde.desmet@telenet.be
0798.682.558,ENT,TEL,0489 709 696
0798.682.558,ENT,EMAIL,emrah913@hotmail.com
0798.727.494,ENT,EMAIL,sebastienmortreuil@hotmail.com
0798.733.731,ENT,EMAIL,info@subundamdiving.com
0798.733.731,ENT,WEB,www.subundamdiving.com
0799.252.680,ENT,TEL,0471/465.201
0799.252.680,ENT,EMAIL,kristof@strom-clothing.com
0799.448.066,ENT,EMAIL,urhbelgiumf@yahoo.com
0799.777.470,ENT,EMAIL,info@restaurantpiripiri.com
0799.930.987,ENT,EMAIL,zvm.vzw@gmail.com
0800.176.061,ENT,EMAIL,info@optop.be
0800.176.061,ENT,WEB,www.optop.be
0801.187.633,ENT,TEL,0466214510
0801.187.633,ENT,EMAIL,ufukinvestment@gmail.com
0801.312.941,ENT,EMAIL,inekools@telenet.be
0801.313.436,ENT,EMAIL,overlastofficial@gmail.com
0801.313.436,ENT,WEB,www.overlast.fun
0801.620.767,ENT,TEL,0489500173
0801.620.767,ENT,EMAIL,vladibobouw@gmail.com
0803.166.235,ENT,EMAIL,johan@nextventures.be
0803.211.468,ENT,TEL,0465265428
0803.211.468,ENT,EMAIL,mobeen_shah208@hotmail.com
0803.475.546,ENT,EMAIL,rosina.dewaide@gmail.com
0803.663.410,ENT,EMAIL,info@jbcardetail.com
0803.663.410,ENT,WEB,www.jbcardetail.com
0803.987.666,ENT,TEL,+44 079 20 05 76 69
0803.987.666,ENT,EMAIL,Lcmcelectrotechbv@hotmail.com
0804.875.910,ENT,TEL,0473 13 80 66
0804.875.910,ENT,EMAIL,secorex.s@gmail.com
0805.198.483,ENT,TEL,0498/365387
0805.198.483,ENT,EMAIL,jel.aziz@hotmail.com
0805.198.483,ENT,WEB,moskee-elmouslimiene.be
0806.933.003,ENT,TEL,+32(0)3 232 1236
0806.933.003,ENT,EMAIL,info@ntcp8.com
0806.933.003,ENT,WEB,www.ntcp8.com
0809.606.837,ENT,TEL,0473266572
0817.047.925,ENT,TEL,03/2328684
0817.047.925,ENT,EMAIL,info@cirakbet.be
0817.131.661,ENT,TEL,03/232.12.36
0817.131.661,ENT,EMAIL,koos@ntcp8.com
0818.237.857,ENT,TEL,03/221.10.10
0818.237.857,ENT,EMAIL,john@fashionclub70.be
0821.428.860,ENT,EMAIL,info@the-boots.com
0821.428.860,ENT,WEB,www.the-boots.com
0826.341.416,ENT,EMAIL,ADMIN@MJWCONSTRUCT.COM
0828.143.042,ENT,WEB,www.productionoffice.be
0832.626.620,ENT,TEL,0473270580
0832.626.620,ENT,EMAIL,info@tempostrijkatelier.be
0832.626.620,ENT,WEB,www.tempostrijkatelier.be
0837.466.425,ENT,TEL,035702973
0837.466.425,ENT,EMAIL,info@bluelinelogistics.eu
0840.151.939,ENT,TEL,03/237.65.60
0840.151.939,ENT,EMAIL,an.vanacker@vmb.be
0840.933.877,ENT,TEL,0495/63.39.03
0840.933.877,ENT,EMAIL,advocaatjacobs@gmail.com
0842.257.730,ENT,EMAIL,info@prospero.ag
0842.257.730,ENT,WEB,www.prospero.ag
0846.487.029,ENT,TEL,03/2328684
0846.487.029,ENT,EMAIL,info@arenabet.be
0846.822.173,ENT,TEL,03/271.14.00
0846.822.173,ENT,EMAIL,admin@whstevens.be
0849.273.602,ENT,EMAIL,bistrodunord@outlook.com
0849.273.602,ENT,WEB,www.bistrotdunord.be
0852.084.226,ENT,TEL,03.239.68.54
0852.084.226,ENT,EMAIL,suzanne.vanrossem@skynet.be
0861.238.650,ENT,EMAIL,info@cabuy-pauwels.be
0861.238.650,ENT,WEB,www.cabuy-pauwels.be
0861.857.569,ENT,EMAIL,info@degoverzekeringen.be
0861.857.569,ENT,WEB,degoverzekeringen.be
0866.563.752,ENT,EMAIL,marc@tsa-safety.be
0873.372.954,ENT,TEL,+32499351345
0873.372.954,ENT,EMAIL,junjiang.1124@gmail.com
0876.981.255,ENT,EMAIL,wenzhou.seafood@telenet.be
0879.940.151,ENT,EMAIL,benjamin@main-man.be
0889.812.177,ENT,EMAIL,erwin.offeciers@gza.be
0896.001.668,ENT,EMAIL,ilia@monsieurtricot.be
1000.536.786,ENT,WEB,www.schutsdoor.com
1001.058.311,ENT,EMAIL,hayder.almusawi26@gmail.com
1001.602.105,ENT,EMAIL,Dreamteam2060@yahoo.com
1002.036.130,ENT,EMAIL,Businesss@purp3r.com
1002.036.130,ENT,WEB,www.purp3r.com
1002.356.230,ENT,TEL,0495427549
1002.356.230,ENT,EMAIL,maxim@miximstudio.be
1002.356.230,ENT,WEB,www.miximstudio.be
1003.363.248,ENT,TEL,032336133
1003.363.248,ENT,EMAIL,dirk@remy.be
1003.395.813,ENT,EMAIL,hello@juliengregoire.com
1003.874.279,ENT,EMAIL,info@apolloproducties.be
1003.874.279,ENT,WEB,www.apolloproducties.be
1005.376.393,ENT,EMAIL,jarrivdh@gmail.com
1005.455.280,ENT,TEL,+32 474 51 72 01
1005.455.280,ENT,EMAIL,curlymaertens@hotmail.com
1005.734.206,ENT,EMAIL,antwerpseaannemingen@outlook.com
1005.903.658,ENT,TEL,+32487412030
1005.903.658,ENT,EMAIL,info@alrodex.be
1005.903.658,ENT,WEB,alrodex.be
1006.672.334,ENT,EMAIL,marketing@lilou-antwerp.be
1007.055.285,ENT,EMAIL,we.are.litch@gmail.com
1007.314.613,ENT,TEL,0466239040
1007.314.613,ENT,EMAIL,abduljabar774@gmail.com
1007.675.689,ENT,EMAIL,info@tvhnotarissen.be
1007.948.081,ENT,TEL,0476999466
1007.948.081,ENT,EMAIL,bartwynants80@gmail.com
1008.490.093,ENT,TEL,0468156490
1008.490.093,ENT,EMAIL,christian@cybercowboys.org
1008.490.093,ENT,WEB,cybercowboys.org
1009.064.967,ENT,EMAIL,deschorpioen.co@outlook.com
1009.150.584,ENT,EMAIL,ghalidka@gmail.com
1009.242.636,ENT,EMAIL,hoh.min2000@gmail.com
1009.242.636,ENT,WEB,www.houseofhope.be
1009.733.178,ENT,EMAIL,nadimbv@gmail.com
1009.762.080,ENT,WEB,www.carolinevoet.be
1009.935.096,ENT,EMAIL,thaispicechili@outlook.com
1009.935.096,ENT,WEB,www.thaispicechili.be
1011.219.654,ENT,WEB,www.planzz.be
1011.320.812,ENT,EMAIL,mohanad.q99@gmail.com
1011.593.402,ENT,EMAIL,alex.hulsen@telenet.be
1011.736.625,ENT,TEL,+31629577327
1011.736.625,ENT,EMAIL,aadin@live.nl
1012.078.697,ENT,EMAIL,meryem.elmandoudi@gmail.com
1012.232.810,ENT,TEL,033185868
1012.232.810,ENT,EMAIL,sayhello@reeltime.be
1012.232.810,ENT,WEB,www.reeltime.be
1013.836.872,ENT,TEL,0491597553
1013.836.872,ENT,EMAIL,willetfaith@hotmail.com
1013.883.095,ENT,EMAIL,cosasenegal@gmail.com
1014.476.082,ENT,EMAIL,belgriego@gmail.com
1014.476.082,ENT,WEB,www.belgriego.com
1014.983.551,ENT,EMAIL,ursulacollective@gmail.com
1014.983.551,ENT,WEB,ursulacollective.org
2.001.734.065,EST,TEL,03/231.10.95
2.042.819.703,EST,TEL,03/237.15.00
2.042.819.703,EST,EMAIL,info@somogyi.be
2.050.555.353,EST,TEL,03/227.29.83
2.084.199.309,EST,TEL,0496565010
2.089.902.315,EST,TEL,0496/917092
2.097.429.515,EST,EMAIL,paesen.jaak@skynet.be
2.102.416.305,EST,EMAIL,CONNY@STEELDUXX.BE
2.116.407.069,EST,EMAIL,han@kila.be
2.123.649.110,EST,TEL,0495331572
2.128.722.705,EST,TEL,0496/500810
2.132.289.632,EST,TEL,032164004
2.132.289.632,EST,EMAIL,info@agrafa.be
2.132.289.632,EST,WEB,www.agrafa.be
