EntityNumber,Language,TypeOfDenomination,Denomination
0407.617.853,0,1,Sociale Dienst voor het Bedrijfsleven - Service social des Entreprises
0407.617.853,0,2,Sodibe
0407.617.853,0,3,Soc.Secr.Soc.
0408.015.850,2,1,Auxilium Antwerpen
0408.034.260,0,1,Parochiale Werken St Willibrordus
0408.144.920,2,1,Belgisch Deutsche Gesellschaft Flandern
0408.189.757,0,1,Interhulp
0408.280.027,2,1,Nicosta
0408.395.833,0,1,Hout en Licht
0408.449.479,0,1,"Actie-Comité Verontruste Ouders, Algemene Bond van Ouders en Opvoeders"
0408.469.968,2,1,MATRO ((M.A.T.R.O.)
0408.508.669,2,1,WINKELVERENIGING DIEMARUS - KOOPCENTRUM DIEPESTRAAT
0408.510.847,2,1,Koninklijke Esperanto-Groep van Antwerpen La Verda-Stelo
0408.609.530,0,1,Bond Damof
0408.700.986,2,1,PROTESTANTS SOCIAAL CENTRUM ANTWERPEN
0408.700.986,2,2,PSC Antwerpen VZW
0408.861.136,1,1,Union professionnelle royale belge des Approvisionneurs de Navires
0408.861.136,1,2,U.P.R.O.B.A.N
0408.861.136,2,1,Koninklijke Belgische beroepsvereniging der Scheepsbevoorraders
0408.861.136,2,2,K.B.B.S
0409.524.991,2,1,Evangelische Vereniging De Kruisbanier
0409.524.991,2,2,De Kruisbanier
0409.533.703,0,1,Familiale School
0409.533.901,0,1,Familiale School Maris Stella
0409.551.420,0,1,Belgische Federatie van Beroepsworstelaars
0409.650.497,2,1,Themis - Fraternitas
0409.784.715,2,1,Schoolcomité Sint-Henricus
0409.823.911,0,1,Hulpfonds voor Behoeftige en Gekwetste Sportmannen
0409.824.307,0,1,Hulpkas voor Behoeftige Blinden
0409.887.257,0,1,Club Afdeeling Sint-Jansvrienden
0409.930.710,0,1,De Jonge Vlaamse Schilderkunst
0409.930.809,2,1,Club De Grijze Kat
0409.933.282,0,1,13e Groep Sint Joris Landscouts
0410.001.380,2,1,Koninklijke Duivenliefhebbersmaatschappij Union
0410.008.607,2,1,Koninklijke Maatschappij Tot Bescherming der Dieren Provincie Oost-Vlaanderen
0410.023.849,0,1,Kring Concordia
0410.042.358,0,1,Landelijke Beroepsvereniging Grossiers in Vleeswaren
0410.236.061,0,1,Martougin Fonds
0410.340.781,0,1,Nationaal Verbond der Oud-Krygsgevangenen 14-18 en 40-45 Afdeling Antwerpen
0410.340.781,0,2,410340484
0410.407.790,0,1,Ons Buitenverblijf
0410.425.014,0,1,Oorlogsvrijwilligers 1940-1945 1001e Kompagnie
0410.425.014,0,2,RASC
0410.467.574,0,1,Ovema
0410.534.880,0,1,Proprietaires Prives Belges de Remorqueurs
0410.546.560,0,1,Raad der Antwerpse Studentenbonden
0410.556.260,0,1,Regeneration de la Famille Ouvriere
0410.591.892,0,1,Royal Antedulivaan Order Of Buffalees Groote Loge van Belgie Belgische Grondwet
0410.680.677,2,1,Sociale en Medische Werken van Het Algemeen Vlaams Ziekenfonds
0410.704.631,0,1,Spallding Base Ball Club
0410.726.308,2,1,Streepje Zon
0410.901.896,0,1,Vervoergemeenschap der Handelaars in Vleeswaren en Aanverwante Producten
0410.935.550,0,1,Vlaamse Federatie van Postzegelkringen
0410.939.807,0,1,Vlaamse Sociale Beweging
0410.943.270,0,1,Vlaamse Wielerbond
0410.971.380,0,1,Vriendenkring van O N 4 Ed
0410.979.102,0,1,Vrij Verbond van Zelfstandigen
0410.985.436,0,1,Vrije Vakschool voor Garnieders
0410.986.822,2,1,Vrijheidskring Ouden van Dagen
0411.009.982,0,1,Week-End Club
0411.010.279,0,1,Weerstand Financiepersoneel
0411.048.584,0,1,Relatiekern voor Antwerpse Managers
0411.048.584,0,2,R.A.M. Juniores
0411.098.470,2,1,SC RETAIL
0411.556.845,2,1,Damof
0411.805.184,0,1,Algemeen Vlaams Ziekenfonds
0411.970.777,0,1,ATHENA- SYNTAX
0412.127.165,2,1,Algemene Bouwwerken Gebroeders De Pooter P. en F.
0412.417.175,0,1,Toneelkring Antigoon VZW
0412.435.783,2,1,Euro - Diving Safari Club
0412.581.877,2,1,Grystedet
0412.714.610,2,1,VLAAMSE ACTIEVE SENIOREN
0412.714.610,2,2,Vl@s
0412.855.358,0,1,Hulpsfonds voor Werklieden C.I.M.-Fonds de Secours pour les Ouvriers de C.I.M.
0413.037.381,2,1,CASTERS - LANDTMETERS
0413.162.293,2,1,Transtel-Sabima
0413.209.805,0,1,De Broeders van Scheppers-Sint-Eligiusinstituut
0413.250.484,2,1,Openbaar Bibliotheekwerk Antwerpen
0413.275.032,0,1,Weezenvreugd
0413.287.504,2,1,EUROPA MERCHANDISING CORPORATION
0413.656.894,2,1,FASHION CLUB 70
0413.751.025,2,1,PAUWELS
0413.808.829,2,1,RYDANT-VAN BOVEN en Co
0413.987.288,0,1,Industry-Club
0414.078.350,0,1,De Frans Boetsvrienden Accordionisten
0414.079.340,0,1,Nieuw Leven
0414.299.965,0,1,Supergros
0414.306.301,2,1,WAS-O-WAS
0414.321.840,2,1,BENELUX - RECORDS
0414.420.028,2,1,LEEMANS-BONELESS
0414.446.752,2,1,Hung Wah
0414.572.753,2,1,Filmhuis Klappei
0414.734.782,2,1,G. Janssens-Vermeire
0414.813.669,2,1,GLOBAL MEUBELEN
0415.050.033,2,1,Michiels Invest
0415.188.209,2,1,Willen is Kunnen
0415.345.981,2,1,Fédération nationale belge du Western
0415.500.290,2,1,F.A.K. (Provinciale Federatie Antwerpse Karnavalvrienden)
0415.598.874,2,1,LUCIFER
0415.615.603,2,1,Service Organisatie Nascholing Joint Venture en Administratie
0415.615.603,2,2,S.O.N.J.A.
0415.799.408,2,1,Islamitisch Centrum van Antwerpen
0415.836.822,2,1,Pussy Cat
0416.005.284,2,1,Immo L. Van Looveren
0416.289.752,2,1,Eoos
0416.594.016,2,1,CETRACO
0416.639.348,2,1,Free Clinic
0416.737.536,2,1,DE TREKVOGEL REISBUREAU
0416.747.236,2,1,BRUYNS EN CHRISTIAENSEN
0416.747.236,2,2,B. en C.
0416.867.990,2,1,Printex Antwerpen
0417.000.129,2,1,Belgo - Chinese Kultuurvereniging
0417.042.887,2,1,Promotie- en Koördinatiekomitee van Vrijetijdsaktiviteiten
0417.042.887,2,2,Prokovrij
0417.068.128,2,1,DE WERKERSEENHEID
0417.267.670,2,1,Servibo
0417.371.402,2,1,EDWARD T. ROBERTSON (BELGIUM)
0417.388.624,2,1,BEMERO
0417.768.508,2,1,G. VLAMINCK en ZONEN
0417.915.194,2,1,Gebroeders De Raeymaekers
0418.716.039,2,1,Professional Purchasers Association
0418.945.374,2,1,Adonis
0419.026.241,2,1,Sands
0419.028.122,2,1,Vlaamse Esperantobond - Flandra Esperanto-Ligo
0419.028.122,2,2,VEB - FEL
0419.148.678,2,1,GUM
0419.218.162,2,1,Ontspanningscentrum
0419.382.963,2,1,Holiday Onn
0419.425.129,2,1,Solidariteit
0419.461.157,2,1,Seefhoek
0419.749.682,2,1,TALK ON THE TOWN
0420.095.518,2,1,Sint - Georges
0420.180.442,2,1,Sportschool Kawashi Kwai
0420.275.462,2,1,Asian Belgium Films Society (Mughal Foundation
0420.405.225,2,1,ADOPTIEHUIS
0420.456.297,2,1,Vereniging van Turkse Gastarbeiders van Antwerpen Noord en Omgeving
0420.458.475,2,1,Turks Cultureel Centrum - Türk Kültür Merkezi
0420.458.475,0,2,TCC
0420.472.531,2,1,Movado sen Nomo
0420.516.081,2,1,Delta Container Services
0420.516.081,2,2,D.C.S.
0420.624.959,1,1,ENTAGRI
0420.799.361,2,1,Metalas
0420.909.229,2,1,Belgian Truckers Club
0420.909.229,2,2,B.T.C.
0421.039.287,2,1,Zeekadetten
0421.613.171,2,1,Stelno
0421.705.025,2,1,Verbraecken en Co
0421.722.346,2,1,Integratie & Inburgering Antwerpen
0421.722.346,2,2,Atlas
0421.794.107,2,1,GARAGE VAN MOSSEVELDE
0422.346.017,2,1,NEPLA
0422.612.172,2,1,Jeugdhuis 't Kelderke - Stuivenberg
0422.658.197,2,1,WABI INTERNATIONAL
0422.658.890,2,1,Antwerpse Super Beenhouwerij
0422.658.890,2,2,A.S.B.
0422.785.386,2,1,Feka
0422.788.653,2,1,Peeters-Cardoen
0423.055.897,2,1,SHIPEX
0423.134.487,2,1,Handels en Geschenkenbeurs
0423.134.487,2,2,H.G.B.
0423.163.191,2,1,Restaurantje Den Beer
0423.306.218,2,1,N.W.L. - Produktie
0423.435.682,1,1,Association belgo-marocaine Maghreb d'Anvers
0423.435.682,2,1,Belgisch-Marokkaanse Vereniging Maghreb van Antwerpen
0423.569.702,2,1,Resonans
0424.013.724,2,1,Alltype
0424.033.223,2,1,PATERNO
0424.045.495,2,1,Centrum
0424.224.550,2,1,Seeftheater
0424.389.252,2,1,Podium
0424.490.311,2,1,Jeugdbioscoop Antwerpen
0424.502.979,2,1,Oudleerlingenvereniging Tasjiveeke Stuivenberg
0424.601.167,2,1,Belgisch Interprofessioneel Centrum voor Beheersbijstand
0424.601.167,2,2,B.I.C.B.
0424.666.493,2,1,Men's International Sauna Club
0424.778.044,2,1,Antwerp Islamic Association
0424.778.044,2,2,A.I.A.
0424.870.292,2,1,GRANEX
0425.069.935,2,1,STEELDUXX
0425.077.952,2,1,FOEK WING
0425.110.022,2,1,Sun Wah Supermarket
0425.156.938,2,1,PARDAF
0425.307.782,2,1,KAPPERSTEAM TEULINGHX
0425.307.782,2,2,KPT
0425.405.178,2,1,Behoud De Begeerte
0425.451.106,2,1,Organisatie ter Bevordering van de Rechtsetiek
0425.468.823,2,1,He and She
0425.498.616,2,1,MEUBELEN BELGICA
0425.500.396,2,1,SAAMO Antwerpen
0425.591.359,2,1,Antwerp Symphony Orchestra
0425.685.488,2,1,Fred' Gym
0425.873.748,2,1,Society Club
0425.922.248,2,1,NEW JEANS- AND SPORTSWEAR
0426.063.392,2,1,Antwerp Port Pharmacy
0426.391.808,2,1,Recht op Waardig Sterven
0426.391.808,2,2,R.W.S.
0426.742.194,2,1,GANDATRADE
0426.929.860,2,1,Standaard Uitgeverij
0427.149.594,2,1,CAR-TRACK
0427.165.729,2,1,ANKER
0427.330.728,2,1,EXCLUSIVE CARS
0427.903.424,2,1,A.V.L. SERVICE
0428.364.272,2,1,DE ROECKLIJN
0428.652.502,2,1,wp Zimmer
0428.763.259,2,1,HERFURTH & CO
0429.310.617,2,1,VOORZORGSFONDS DE WITTE MEEUW OFP
0429.337.836,2,1,Vereniging van Chinezen in België - Association des Chinois en Belgique
0429.632.596,2,1,SAUBAVAR
0429.795.023,2,1,Turks Islamitische Unie in België
0429.815.215,2,1,F.C. Genclik Sport
0429.886.974,2,1,DERYCKER DANIEL
0430.290.119,2,1,Sint-Jan
0430.316.942,2,1,KOREAN SEAMEN CENTER
0430.331.095,2,1,T.I.M.A.
0430.440.864,2,1,GRAFFITI
0430.592.995,2,1,HEBELUVEE
0430.795.509,2,1,AUTOCARS VERBEECK
0430.801.942,2,1,TEXIMPEX
0430.883.304,2,1,ANTWERP CLASSIC CARS
0431.171.235,2,1,DE MAMMOET
0431.449.367,2,1,Vleesgroothandel Willems Jean
0431.512.022,2,1,CLASSIC REPRODUCTIONS OF ENGLAND
0431.666.529,2,1,Siteshow
0431.709.089,2,1,TANGO
0431.889.629,2,1,DOG SECURITY
0431.921.006,2,1,'T PUTKE
0432.012.165,2,1,GENEESHEREN SPECIALISTEN NOORD - WAASLAND
0432.324.347,1,1,Limago
0432.403.531,2,1,TROUBLEYN/JAN FABRE
0432.486.871,2,1,Erinys
0432.489.445,2,1,Artishock
0432.664.144,2,1,BISTRO CD
0432.735.806,2,1,Oudervereniging Rijksbasisschool 1
0432.735.806,2,2,Orba
0432.744.615,2,1,MEBIDENT
0432.840.031,2,1,BUBBIMO
0433.686.604,2,1,QUEENS
0433.903.368,2,1,Kinder-en Jongerenwerking't Schijnpoort
0434.051.244,2,1,"Vereniging van Geloof en Beoefening van de Islamitische Godsdienst en de Marokkaanse Cultuur, Moskee El-Mouslimin"
0434.144.185,2,1,Islamitische Federatie van België divisie Antwerpen-Noord Hizmet
0434.144.185,2,2,BIF Antwerpen-Noord Hizmet
0434.406.778,2,1,Kribbe Bethlehem
0434.500.909,2,1,N.C.B.
0434.504.075,2,1,DE GROENE ANJER
0434.630.967,2,1,ALL-TRASCO
0434.778.447,2,1,ROBESTA
0434.790.424,2,1,MIMESIS
0435.058.064,2,1,VERSCHRAEGEN
0435.165.853,2,1,DEVELOPPEMENT IMMOBILIER INTERNATIONAL
0435.165.853,2,2,D.I.I.
0435.247.512,2,1,Theabel
0435.652.437,2,1,KATOEN NATIE CUSTOMS SERVICES
0435.702.224,2,1,CONSTRUCTIE EN PROMOTIE VAN IMMOBILIEN
0435.702.224,2,2,C.P.I.
0435.762.404,2,1,InMac Int.
0435.832.678,2,1,SPORT AEROBIC CENTER BELGIE
0435.835.252,2,1,De Wijngaard Christengemeenschap
0435.841.586,2,1,DAGBLADHANDEL DE POTHOEK
0435.858.513,2,1,Socio-Kulturele Organisatie voor Marokanen
0435.946.803,2,1,BIT BY BIT
0436.475.650,2,1,TDS
0436.475.650,2,2,T.D.S.
0436.652.230,2,1,HIDI
0436.790.703,2,1,MODI
0437.293.123,2,1,BUREAU A. DE WAELE
0437.396.952,2,1,LIFT CONSTRUCT
0437.508.008,2,1,LUC FRANSSENS
0437.511.768,2,1,KIMO
0437.690.922,2,1,B. AKKERMANS KEUKENS
0437.798.909,2,1,CHAAN
0437.958.958,2,1,FAN ENTREPRISES
0438.171.467,2,1,Rekupp
0438.173.744,2,1,"Architecture, Design and More"
0438.173.744,2,2,Bureau ADAM
0438.205.913,2,1,FRITUUR SKYLINE
0438.229.865,2,1,VERRAS
0438.238.872,2,1,ARCHITEKTENBUREAU DEMOOR GUY
0438.421.390,2,1,TORUS
0438.922.723,2,1,STEAM
0438.929.849,2,1,IMMOGA
0439.044.962,2,1,Wotepa Welzijn
0439.068.916,2,1,Master Match Technics
0439.071.389,2,1,B.L.R. BUILDING
0439.204.914,2,1,INTIMEX COMPANY
0439.275.485,2,1,Bento's Hair Center
0439.336.457,2,1,Pinguins Barket Sport
0439.336.457,2,2,Pinguins
0439.401.387,2,1,BELLOCK
0439.421.381,2,1,BEENHOUWERIJ DERYCKER DANIEL
0439.619.242,2,1,Expeditie de Stad
0439.619.242,2,2,EdS
0439.637.553,2,1,Erron Facilities
0439.662.101,2,1,PUNCH PRODUCTIES
0439.701.097,2,1,Antwerp Truth Church
0439.912.618,2,1,MARHABA G G
0439.926.573,2,1,BICL II
0439.974.182,2,1,SEBEK
0440.052.475,2,1,EUROPEAN IMPORT VIDEO
0440.102.361,2,1,ECCHOLINE
0440.552.224,2,1,SING KONG
0440.701.583,2,1,FREKA
0440.963.384,2,1,J. EN J. PRODUKTIES
0440.963.384,2,2,440666941
0441.021.782,2,1,CELICA CLUB BELGIUM
0441.077.113,2,1,mister ANPA CLEANING
0441.077.113,2,2,441077014
0441.219.346,2,1,JOLU - RENT
0441.320.504,2,1,kinesitherapeutenkring Groot Antwerpen
0441.320.504,2,2,K.G.A.
0441.491.045,2,1,MERABI
0441.540.733,2,1,SKYMAX
0441.575.969,2,1,Abo
0441.950.509,2,1,ASIA FOOD
0442.012.568,2,1,BRUGGEMAN-MAES
0442.247.843,2,1,O.K. Club
0442.263.976,2,1,Club Konya
0442.455.701,2,1,KADER
0442.455.897,2,1,ANADOLU
0442.468.072,2,1,FlowDynamic
0442.706.614,2,1,K & E PROMOTIES
0442.721.262,2,1,ANTWERPSE DISTRIBUTIE TRUST
0442.797.179,2,1,Portobelgo
0442.799.357,1,1,LE RIAD
0442.853.401,2,1,DA VINCI
0443.014.242,2,1,Babaart Trust vzw
0443.036.810,2,1,INTER - MARKETING
0443.038.095,2,1,DE KROON
0443.528.144,2,1,Threepoint
0443.528.144,2,2,3
0444.190.813,2,1,Ilomar Agencies
0444.302.956,2,1,GRANHOLD
0444.530.511,2,1,BOTAN
0444.530.511,2,2,444526848
0444.722.927,2,1,Renovatie - en Karweiwerken Gebrs. J. en J.A. Lambrechts - Eddy Bal en Co.
0444.760.737,2,1,DIMAS
0444.813.987,2,1,EUROPEES CENTRUM VOOR DIRECTE DISTRIBUTIE - CENTRE EUROPEEN DE DISTRIBUTION DIRECTE
0444.813.987,2,2,E.C.D.D. - C.E.D.D.
0444.832.397,2,1,DBC DEAL
0444.943.453,2,1,Nationale Vereniging van Leraren in Rudolf Steinerscholen
0445.043.027,2,1,CLUB SYMPA
0445.080.639,2,1,Vissersvereniging@Nooit Zonder Moed@
0445.150.123,2,1,Gezinsbegeleidingsdienst Antwerpen
0445.299.779,2,1,Ixsons
0445.303.739,2,1,ZENON
0445.364.909,2,1,HERFURTH LOGISTICS
0445.364.909,0,1,HERFURTH LOGISTICS
0445.368.174,2,1,Monumentenzorg
0445.394.405,2,1,LAU'S GROUP
0445.419.248,2,1,Emir
0445.606.122,2,1,Interesse
0445.906.525,2,1,JADOR
0445.933.645,2,1,Algemene Voeding
0445.944.632,2,1,TABAKNATIE
0446.074.195,2,1,Po Shin Tao Teh Association
0446.083.895,2,1,PALOUME
0446.232.167,2,1,SENSOA
0446.540.191,2,1,INTERNATIONAL MARITIME SHIPPING
0446.606.905,2,1,LA ROSE
0446.660.551,2,1,METASTORE
0446.721.721,2,1,Scholengroep Koninklijk Atheneum - Steunfonds
0446.738.349,2,1,Studiekring Trigonum Coronatum
0446.738.349,2,2,S.T.C.
0446.742.903,2,1,Gembo Basketbal Club Borgerhout
0446.742.903,2,2,Gembo B.B.C.
0446.770.716,2,1,RALTON Trading and Forwarding
0447.038.158,2,1,MOENS
0447.068.842,2,1,GUARDIAN
0447.332.623,2,1,ARI
0447.420.715,2,1,Kraplak Puur
0447.476.836,2,1,Efes
0447.561.958,2,1,TAO TAK BUDDHISH TEMPLE
0447.579.279,2,1,CLASSO
0447.616.594,2,1,ENGEL
0447.838.607,2,1,JADATEX
0447.890.867,2,1,GIRASOL
0447.916.108,2,1,DE EEKHOORN
0447.950.057,2,1,Wonderlamp
0448.065.368,2,1,AXI-vzw
0448.207.009,2,1,B.G.R.
0448.501.175,2,1,IBERTRADE
0448.536.908,2,1,J&M LABRADOR
0448.601.343,2,1,ANIMMA
0448.647.368,2,1,BARIS
0448.666.669,2,1,ZENITH
0448.692.504,2,1,BIMA
0448.735.559,2,1,"Mr. B GOOD, AFRICAN CULTURAL CENTRE"
0448.805.340,2,1,ASP MANAGEMENT COMMUNICATION EN MARKETING SERVICES BENELUX
0448.854.038,2,1,Roze Aktiefront
0448.957.273,2,1,CLEOPATRA
0448.965.389,2,1,INTERELECTRONIC SARAY
0448.973.309,2,1,JOSCO
0449.057.540,2,1,DREAM LINE BENELUX
0449.079.613,2,1,ADVOCATENKANTOOR PAUL COOLS
0449.190.667,2,1,SOCIALE DIENST & OPLEIDING VOOR HET PERSONEEL VAN FINANCIEN
0449.190.667,2,2,SOPEF
0449.325.774,2,1,Gebroeders Huyghebaert
0449.374.472,2,1,G.L.R. en Co
0449.426.833,2,1,BILAL
0449.455.735,2,1,OSKAR D
0449.495.822,2,1,HELADO
0449.585.595,2,1,Club Anasr
0449.834.035,2,1,WELNESS WORLD
0449.837.203,2,1,VANDEGOOR
0449.870.756,2,1,TUrk Genclik Evi - Turkse Jeugdhuis
0449.990.027,2,1,GOLFINHO
0450.051.096,2,1,Down Town Crazy
0450.091.183,2,1,"De Wijk, Centrum voor Socio-Kultureel Werk"
0450.091.183,2,2,De Wijk
0450.130.280,2,1,IMAGE FREAKS
0450.303.890,2,1,Rixman
0450.376.245,2,1,TO THE POINT
0450.427.913,2,1,Asya
0450.429.990,2,1,PROVIDENTAL
0450.556.486,2,1,Europa 92
0450.609.837,2,1,SEBRUCO
0450.689.912,2,1,SUPERIUS
0450.695.751,2,1,APOTHEEK C. BOSCHMANS
0450.714.260,2,1,CUISTOT
0450.739.402,2,1,Assor Babil
0450.880.051,2,1,MEVLANA
0451.034.360,2,1,KALLO INDUSTRIES
0451.091.966,2,1,El Yassam
0451.093.154,2,1,Christelijk Ontmoetingscentrum De Deur
0451.098.597,2,1,MAHAN GROUP ENTERPRISES
0451.101.369,2,1,EKIKI
0451.135.320,2,1,Belafric
0451.156.896,2,1,ANTWERPSE VOEDING
0451.161.351,2,1,VLAAMS HUURDERSPLATFORM
0451.161.351,2,2,VHP
0451.199.656,2,1,KEYMART
0451.200.052,2,1,Friends
0451.240.238,2,1,Club Florida
0451.271.120,2,1,KOERDISCHE DEMOCRATISCHE GEMEENSCHAPSCENTRUM VAN ANTWERPEN-NAVENDA CIVAKA DEMOKRATIK KURD'A ANTWERPEN
0451.272.110,2,1,Club Miami
0451.273.001,2,1,Kulturno-sportsko udruzenje Bosne i Hercegovine Bosna
0451.471.850,2,1,PAK TRADING
0451.505.306,2,1,DELI-GROEP
0451.508.670,2,1,Ghana Welfare Association
0451.552.717,2,1,Uitgeverij Zwijsen België
0451.683.369,2,1,IMMO DANIEL
0451.763.246,2,1,LANIUS
0451.770.570,2,1,'t Groot Optreden
0451.933.688,2,1,De Gulden Roos
0452.017.525,2,1,'t Stuiverke
0452.063.748,2,1,CULTUREEL CENTRUM MOSKEE OMAR
0452.063.748,2,2,CCMO
0452.189.551,2,1,DRIE STERREN
0452.266.161,2,1,DYNAMIC SERVICE
0452.292.291,2,1,REGAL INVESTMENTS
0452.322.480,2,1,Göl tot Bosna
0452.361.181,2,1,Marhaba
0452.394.142,2,1,Nationaal Museum van Douane en Accijnzen
0452.394.142,2,2,D& Amuseum
0452.553.795,2,1,Vertikaal
0452.640.602,2,1,FREDDY VAN DEN BRANDEN
0452.697.911,2,1,ARTRIM
0452.725.427,2,1,EBONY
0452.805.106,2,1,ANTHONY
0452.839.154,2,1,ROMBIT TECHNICS
0452.846.973,2,1,"De Hut, African + Carribian cultural Centre"
0452.911.806,2,1,"NICOLAI EN PARTNERS, RAADGEVENDE ACTUARISSEN"
0452.914.576,2,1,Chinese Vrouwenverening
0452.979.112,2,1,Reputations
0453.064.630,2,1,Den Dam
0453.102.440,2,1,Casablanca
0453.139.359,2,1,CONVINCE
0453.291.490,2,1,Opera mobile Antwerpen
0453.291.490,2,2,Opera mobile
0453.299.905,2,1,CONCRETE COLOURS INTERNATIONAL
0453.299.905,2,2,C.C.I.
0453.335.240,2,1,RE-FIX
0453.342.960,2,1,Berkane
0453.354.145,2,1,Ban Thai Laos
0453.398.289,2,1,TURKS CULTUREEL JEUGDBEWEGING
0453.398.289,2,2,TCJ
0453.398.289,0,1,TURK KULTUR GENCLIK MERKEZI
0453.718.191,2,1,Hulp aan Nieuwe Start
0453.718.191,2,2,H.A.N.S.
0453.822.319,2,1,MARKETING DEVELOPMENT
0453.951.090,2,1,ANTASER
0453.957.228,2,1,ANTHONISSEN & Co
0453.981.378,2,1,Sunnatarem Belgium Natural Buddhist Meditation Center
0454.093.523,2,1,Ninive
0454.098.570,2,1,Musica Poetica
0454.167.757,2,1,JEMABO
0454.194.283,2,1,RADIX
0454.213.683,2,1,SUNSHINE BELGIUM
0454.264.460,2,1,IMMO - CHELSEA
0454.401.547,2,1,Bitterpeeën
0454.481.523,2,1,De Helpende Hand
0454.509.633,2,1,DR. L. ROMBOUTS
0454.525.469,2,1,Vereniging Ven
0454.716.303,2,1,Belgo - Marocain
0454.809.739,2,1,Marseille
0454.824.387,2,1,FINANCIEN IN DE GEMEENSCHAP
0454.824.387,2,2,F.I.G.
0454.840.324,1,1,TUBA
0455.097.670,2,1,ACTIVE HOLIDAYS
0455.154.781,2,1,H.R. CONSULTING
0455.197.145,2,1,PRAET - BEHEER
0455.207.439,2,1,PACHA
